run,avg_queue,n_samples,lag1_corr,lag2_corr,lag3_corr,lag5_corr,lag10_corr
1,317.2572222222222,1800,0.9999865650998818,0.999974368344973,0.9999630588254292,0.9999401903144021,0.999886676375134
2,325.77,1800,0.9999892536556317,0.9999783824484908,0.9999673722428791,0.9999464301917748,0.9998952105100453
3,300.2138888888889,1800,0.9999841545344887,0.9999678184394071,0.9999523705600138,0.9999224106073693,0.999838373014277
4,292.1772222222222,1800,0.9999864227558379,0.9999734981068891,0.9999598721593574,0.9999343327054284,0.9998621408062277
5,325.53333333333336,1800,0.9999893230298987,0.9999786928485659,0.9999685132888737,0.9999496135943754,0.9999051847045766
6,288.8611111111111,1800,0.9999847356353171,0.9999697344546771,0.9999558977343659,0.9999304413745297,0.9998758158441563
7,309.14222222222224,1800,0.9999867760370125,0.9999741783330547,0.9999615210928461,0.9999360652697977,0.9998760646227496
8,315.465,1800,0.9999874440679278,0.9999749350572128,0.9999622939108322,0.9999354970002514,0.9998685095121946
9,298.8305555555556,1800,0.9999854170779955,0.9999723916486198,0.9999597812576715,0.9999349999503074,0.9998792975106654
10,315.86833333333334,1800,0.9999878904645405,0.9999765908945364,0.9999653728636457,0.9999416480923821,0.9998776586050733
